assay,cells,compound,condition,exposure_time,response,treatment
LDH,SVG,DEP,Hypoxia,48 Hours,1.39882024115895,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.783772158407799,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.5531291273761201,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.47624811703222625,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.7581451549598344,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.9631611825435513,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,1.4500742480548794,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,2.167630344597889,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,1.39882024115895,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.7325181515118697,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,-0.19005397261485402,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.4506211135842616,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.5018751204801909,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.9631611825435513,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,1.3219392308150562,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,2.2701383583897474,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,1.5525822618467378,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.8350261653037282,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.8350261653037282,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.2194312170231978,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.4500742480548794,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.3475662342630208,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.3731932377109854,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.3982733756295707,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.5525822618467378,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.42499411013629695,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.5787561308240847,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.4506211135842616,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.5018751204801909,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.5787561308240847,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.1425502066793038,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.3213923652856767,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.295765361837712,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.9631611825435513,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.630010137720014,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.9631611825435513,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.8093991618557637,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.8093991618557637,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.1169232032313392,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.654543410109217,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.936440448036828,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.603836268742667,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.3475662342630208,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.1169232032313392,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.4500742480548794,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.3475662342630208,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.3475662342630208,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.6289164066612525,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,3.1158294721725803,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.2445113549417828,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.6550902756385963,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.9882413204621365,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.526408392869394,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.4239003790775353,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.577662399765323,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,4.320298634226916,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,3.346472503204262,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.0394953273580656,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.2701383583897474,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.1163763377019595,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.603289403213288,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.7832252928784196,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.4751543859734646,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,3.3720995066522264,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.8087115151341555,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,1.22585561747289,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.7480123276128854,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.4493602714503825,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.300034243369131,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.47922547706663277,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.7480123276128854,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,1.7932945241816458,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,2.2412726084254,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.47922547706663277,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,-0.2674046633396212,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.21043862652038015,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.7778775332291358,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.7480123276128854,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,1.106394795007889,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,2.1516769915766494,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,2.6892506926691544,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.1661252062403895,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.47922547706663277,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.7181471219966351,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.807742738845386,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.8376079444616363,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.8674731500778866,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.002350963495398,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.7788463095179052,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.4647772624028925,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.598686299531634,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.22585561747289,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.405046851170392,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.3453164399378914,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.733564112949145,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.5100594589716527,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,3.5254764499241626,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.7634293185653953,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.9272035613103872,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.8973383556941369,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.3453164399378914,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.524507673635393,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.3154512343216411,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.748981103901655,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,3.883858917319163,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.21140740280915,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.614103290484144,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.405046851170392,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.524507673635393,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.4349120567866422,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.7036989073328948,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,3.346285216226661,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,3.883858917319163,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.3010030196579008,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.2412726084254,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.5543728792516434,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.7932945241816458,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.524507673635393,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.002350963495398,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,3.2865548049941604,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,3.8539937117029126,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.121811785960399,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.091946580344149,100 ug/ml
