cells,compound,exposure_time,condition,treatment,response
SVG,DEP,48 Hours,Hypoxia,Blank,1.39882024115895
SVG,DEP,48 Hours,Hypoxia,Blank,0.783772158407799
SVG,DEP,48 Hours,Hypoxia,Blank,0.5531291273761201
SVG,DEP,48 Hours,Hypoxia,Blank,0.47624811703222625
SVG,DEP,48 Hours,Hypoxia,Blank,0.7581451549598344
SVG,DEP,48 Hours,Hypoxia,Blank,0.9631611825435513
SVG,DEP,48 Hours,Hypoxia,Blank,1.4500742480548794
SVG,DEP,48 Hours,Hypoxia,Blank,2.167630344597889
SVG,DEP,48 Hours,Hypoxia,Blank,1.39882024115895
SVG,DEP,48 Hours,Hypoxia,Blank,0.7325181515118697
SVG,DEP,48 Hours,Hypoxia,Blank,-0.19005397261485402
SVG,DEP,48 Hours,Hypoxia,Blank,0.4506211135842616
SVG,DEP,48 Hours,Hypoxia,Blank,0.5018751204801909
SVG,DEP,48 Hours,Hypoxia,Blank,0.9631611825435513
SVG,DEP,48 Hours,Hypoxia,Blank,1.3219392308150562
SVG,DEP,48 Hours,Hypoxia,Blank,2.2701383583897474
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,1.5525822618467378
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,0.8350261653037282
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,0.8350261653037282
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,1.2194312170231978
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,1.4500742480548794
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,1.3475662342630208
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,1.3731932377109854
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,2.3982733756295707
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,1.5525822618467378
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,0.42499411013629695
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,0.5787561308240847
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,0.4506211135842616
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,0.5018751204801909
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,0.5787561308240847
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,1.1425502066793038
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,2.3213923652856767
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,2.295765361837712
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,0.9631611825435513
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,0.630010137720014
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,0.9631611825435513
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,0.8093991618557637
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,0.8093991618557637
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.1169232032313392
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,2.654543410109217
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,2.936440448036828
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.603836268742667
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.3475662342630208
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.1169232032313392
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.4500742480548794
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.3475662342630208
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.3475662342630208
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,2.6289164066612525
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,3.1158294721725803
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,2.2445113549417828
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,1.6550902756385963
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,1.9882413204621365
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,2.526408392869394
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,2.4239003790775353
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,2.577662399765323
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,4.320298634226916
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,3.346472503204262
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,2.0394953273580656
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,2.2701383583897474
