cells,compound,exposure_time,condition,treatment,response
SVG,DEP,24 Hours,Normoxia,Blank,1.1042690171327216
SVG,DEP,24 Hours,Normoxia,Blank,0.8894116484955983
SVG,DEP,24 Hours,Normoxia,Blank,0.8767729797522381
SVG,DEP,24 Hours,Normoxia,Blank,0.9526049922123988
SVG,DEP,24 Hours,Normoxia,Blank,1.0031596671858396
SVG,DEP,24 Hours,Normoxia,Blank,0.9399663234690385
SVG,DEP,24 Hours,Normoxia,Blank,0.9905209984424794
SVG,DEP,24 Hours,Normoxia,Blank,0.965243660955759
SVG,DEP,24 Hours,Normoxia,Blank,1.0537143421592807
SVG,DEP,24 Hours,Normoxia,Blank,0.8641343110088778
SVG,DEP,24 Hours,Normoxia,Blank,1.0916303483893612
SVG,DEP,24 Hours,Normoxia,Blank,0.965243660955759
SVG,DEP,24 Hours,Normoxia,Blank,1.1548236921061625
SVG,DEP,24 Hours,Normoxia,Blank,1.078991679646001
SVG,DEP,24 Hours,Normoxia,Blank,1.066353010902641
SVG,DEP,24 Hours,Normoxia,Blank,1.0031596671858396
SVG,DEP,24 Hours,Normoxia,20 ug/ml,1.1927396983362433
SVG,DEP,24 Hours,Normoxia,20 ug/ml,1.0916303483893612
SVG,DEP,24 Hours,Normoxia,20 ug/ml,1.0410756734159203
SVG,DEP,24 Hours,Normoxia,20 ug/ml,1.0157983359292
SVG,DEP,24 Hours,Normoxia,20 ug/ml,1.2053783670796034
SVG,DEP,24 Hours,Normoxia,20 ug/ml,1.1169076858760818
SVG,DEP,24 Hours,Normoxia,20 ug/ml,0.9526049922123988
SVG,DEP,24 Hours,Normoxia,20 ug/ml,0.927327654725679
SVG,DEP,24 Hours,Normoxia,20 ug/ml,1.129546354619442
SVG,DEP,24 Hours,Normoxia,20 ug/ml,0.8641343110088778
SVG,DEP,24 Hours,Normoxia,20 ug/ml,0.965243660955759
SVG,DEP,24 Hours,Normoxia,20 ug/ml,0.8894116484955983
SVG,DEP,24 Hours,Normoxia,20 ug/ml,0.8894116484955983
SVG,DEP,24 Hours,Normoxia,20 ug/ml,1.0410756734159203
SVG,DEP,24 Hours,Normoxia,20 ug/ml,0.9526049922123988
SVG,DEP,24 Hours,Normoxia,20 ug/ml,0.9146889859823188
SVG,DEP,24 Hours,Normoxia,50 ug/ml,1.2180170358229636
SVG,DEP,24 Hours,Normoxia,50 ug/ml,1.2180170358229636
SVG,DEP,24 Hours,Normoxia,50 ug/ml,1.066353010902641
SVG,DEP,24 Hours,Normoxia,50 ug/ml,1.2306557045663238
